,region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi,year,state,est_num_sold_below_list
1,394304,83,"Akron, OH",msa,OH,2018-08-31,0.03713543869,0.04462991522,909.0,27.0,0.5770282402,0.2513292775,0.9875958499,141074,165933.0,53.0,767.0,1182,3968,843.338297,143004.4992,2018,1,524.5186703418
2,394308,64,"Albany, NY",msa,NY,2018-08-31,0.03526878104,0.04164202037,767.0,56.0,0.5144631431,0.3844079469,0.9959172996,193092,226333.0,50.0,634.0,852,3259,1197.265403,224138.3226,2018,2,394.5932307577
3,394312,62,"Albuquerque, NM",msa,NM,2018-08-31,0.02315118419,0.02643029253,1175.0,39.0,0.6197617861,0.1291497348,0.9867440476,202666,246567.0,45.0,958.0,1397,4680,1015.223089,195591.2598,2018,3,728.2200986675
4,394318,70,"Allentown, PA",msa,PA,2018-08-31,0.03395401262,0.04008643094,1357.0,47.0,0.6484618862,0.1617413379,0.9839871185,185307,220633.0,67.0,101.0,1430,4550,1251.292998,204643.0011,2018,4,879.9627795734
5,394347,9,"Atlanta, GA",msa,GA,2018-08-31,0.02472140777,0.02854741599,9805.0,33.0,0.5417609786,0.24275974,0.9931108934,223106,292000.0,34.0,8221.0,10749,31488,1331.799884,225597.5533,2018,5,5311.966395173001
6,394355,29,"Austin, TX",msa,TX,2018-08-31,0.02099369988,0.02383650353,2871.0,34.0,0.5726038113,0.2331431405,0.9918897032,312579,367333.0,38.0,2278.0,3389,10366,1406.922841,315458.1828,2018,6,1643.9455422423002
7,394357,63,"Bakersfield, CA",msa,CA,2018-08-31,0.02539364908,0.029469022,986.0,40.0,0.5009549737,0.3133888289,0.9975631653,225068,263300.0,48.0,341.0,991,3094,1154.676161,220541.2605,2018,7,493.9416040682
8,394358,20,"Baltimore, MD",msa,MD,2018-08-31,0.02725417024,0.03151134517,4000.0,48.0,0.4763232319,0.246699087,0.9986799472,275805,306666.0,48.0,2392.0,4010,13645,1446.991541,275819.1047,2018,8,1905.2929276
9,394367,66,"Baton Rouge, LA",msa,LA,2018-08-31,0.02473661046,0.02880596488,965.0,,,,,188007,233750.0,,47.0,1303,5465,1207.895208,178333.8283,2018,9,
10,394388,51,"Birmingham, AL",msa,AL,2018-08-31,0.03022976234,0.0375770966,1856.0,41.0,0.5813463957,0.1999271993,0.9891797719,190168,225837.0,46.0,1089.0,1833,6687,1087.01079,157204.5984,2018,10,1078.9789104192
11,394399,79,"Boise City, ID",msa,ID,2018-08-31,0.02186279439,0.02543187815,1648.0,,,,,267086,327221.0,26.0,450.0,1967,4320,1208.174699,297658.9852,2018,11,
12,394404,10,"Boston, MA",msa,MA,2018-08-31,0.02954917443,0.03359412045,7026.0,50.0,0.4007597724,0.4902060751,1.000127043,436437,503967.0,27.0,4096.0,5943,15361,2437.556565,482956.888,2018,12,2815.7381608824
13,394415,60,"Bridgeport, CT",msa,CT,2018-08-31,0.03361944346,0.03832391777,1318.0,55.0,0.7320257838,0.1571314995,0.9763119421,393398,652750.0,61.0,668.0,1235,6958,2092.495359,413961.3992,2018,13,964.8099830484001
14,394425,50,"Buffalo, NY",msa,NY,2018-08-31,0.03952910459,0.04536287724,1275.0,61.0,0.4067184964,0.4958824796,1.000279131,155007,178267.0,34.0,1104.0,1433,3825,951.0810259,170283.3037,2018,2,518.56608291
