region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi
394304,83,"Akron, OH","msa","OH","2023.04.30",.0435343,.0543728,474,34,.4852632,.3730119,.9946843,184660,180683,26,639,668,1382,1170.054,205494.7
394304,83,"Akron, OH","msa","OH","2020.08.31",.0365085,.0420654,913,34,.4558616,.3866938,.9985169,154620,178617,35,862,1103,2704,909.6473,160988.3
394304,83,"Akron, OH","msa","OH","2022.12.31",.0425898,.0495776,540,35,.4951939,.3359616,.993479,176375,173950,27,555,630,1774,1167.198,203221.9
394304,83,"Akron, OH","msa","OH","2021.09.30",.0438364,.0509291,944,40,.2991734,.5559129,1.01031,170822,178183,16,992,1171,2216,1026.235,186977.3
394304,83,"Akron, OH","msa","OH","2021.10.31",.0439736,.0502016,851,40,.3401076,.5016382,1.002903,173529,174850,18,976,1046,2177,1034.157,186608
394304,83,"Akron, OH","msa","OH","2019.11.30",.0382776,.0445853,554,26,.6002638,.2266446,.9855121,149243,159633,61,561,848,3431,886.8759,153067.1
394304,83,"Akron, OH","msa","OH","2022.07.31",.0519247,.0596962,728,37,.2355354,.6392366,1.028128,187637,193450,12,967,1148,1982,1121.169,202216.2
394304,83,"Akron, OH","msa","OH","2019.01.31",.0386861,.0458053,432,28,.70836,.1565592,.9747971,149034,149600,76,450,541,2912,856.6476,146693.3
394304,83,"Akron, OH","msa","OH","2020.03.31",.0365096,.0433685,544,30,.6413226,.197935,.979881,155354,157600,65,571,752,2647,894.8328,156765.3
394304,83,"Akron, OH","msa","OH","2019.03.31",.0361582,.042868,564,27,.7053125,.1637577,.9738598,148837,153200,75,524,733,2729,862.7616,148686.6
394304,83,"Akron, OH","msa","OH","2018.10.31",.0370977,.0439684,773,27,.6116076,.2233544,.9834507,144936,158300,58,634,961,3804,843.5585,144391.3
394304,83,"Akron, OH","msa","OH","2022.04.30",.0497451,.0576559,625,37,.3229918,.5276479,1.007502,175073,172967,18,759,830,1425,1109.044,197177.9
394304,83,"Akron, OH","msa","OH","2021.02.28",.0425686,.0485594,480,33,.5018977,.3376055,.9958848,158361,154433,41,633,535,1656,962.3372,174818
394304,83,"Akron, OH","msa","OH","2021.05.31",.0438291,.0503097,772,40,.3305742,.520385,1.006534,161422,169933,17,868,950,1522,979.1573,181592.6
394304,83,"Akron, OH","msa","OH","2019.05.31",.0361161,.0422066,822,27,.6152841,.2291096,.9832777,149308,161858,59,676,1111,3176,869.0681,150053.9
394304,83,"Akron, OH","msa","OH","2022.02.28",.0499575,.0574595,520,41,.3771687,.4373725,1,175344,153292,26,599,575,1357,1058.491,191356.4
394304,83,"Akron, OH","msa","OH","2018.11.30",.0367986,.0439261,660,27,.6351829,.2093179,.9818576,149544,154933,65,568,801,3581,845.6279,145172.2
394304,83,"Akron, OH","msa","OH","2020.04.30",.0364633,.0438843,590,30,.6024564,.2359582,.9849065,158366,162600,59,572,744,2578,895.5474,158019.1
394304,83,"Akron, OH","msa","OH","2023.03.31",.0433608,.0527034,534,34,.5429997,.3067389,.9899099,184767,171900,32,606,602,1409,1179.489,204540.2
394304,83,"Akron, OH","msa","OH","2020.02.29",.0373346,.0445984,448,29,.6504317,.1852223,.9787866,155871,152567,71,533,607,2668,888.9774,155529.1
394304,83,"Akron, OH","msa","OH","2019.10.31",.0378485,.0441797,719,26,.5910794,.2466156,.9863153,147443,164133,59,636,992,3581,884.2382,152332.7
