,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,pct_sold_below_list,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,mean_days_pending,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,sales_count_nowcast,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,zhvi,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,invt_for_sale,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_list_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price,median_sale_price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,57.0,0.4601,0.1278,0.2466,0.327,0.4769,0.5692,0.6564,57.0,37.0877,14.4238,15.0,24.0,37.0,46.0,67.0,57.0,1446.8596,325.8776,713.0,1232.0,1453.0,1726.0,2065.0,57.0,198063.8062,30216.2329,157204.5984,169915.0319,192070.1304,225349.1926,245171.183,57.0,4552.2105,1014.4056,3003.0,3680.0,4290.0,5418.0,6687.0,57.0,250433.9123,15443.6825,216238.0,246633.0,249600.0,258300.0,276333.0,57.0,225789.1053,26708.3148,186442.0,200774.0,227236.0,250107.0,268619.0
AR,57.0,0.51,0.1462,0.2653,0.3485,0.5151,0.6472,0.7265,57.0,52.0702,25.1977,16.0,31.0,44.0,75.0,100.0,57.0,951.5088,214.1504,522.0,788.0,948.0,1103.0,1433.0,57.0,168814.4117,18816.8278,146729.5486,150752.4618,163530.9238,186045.7666,201578.6493,57.0,3394.2632,930.7932,2204.0,2601.0,3214.0,4160.0,5275.0,57.0,209576.8596,18049.4557,184967.0,195467.0,205833.0,216667.0,243500.0,57.0,185826.7018,21414.0864,157353.0,165224.0,182492.0,205970.0,220525.0
AZ,114.0,0.446,0.1332,0.1995,0.3219,0.4847,0.5562,0.677,114.0,35.4298,14.4099,12.0,23.0,36.0,46.0,73.0,114.0,4422.2544,3122.5078,818.0,1572.25,2888.5,7448.75,9981.0,114.0,314909.8511,76619.1333,205089.6767,254303.0585,304707.3616,345407.1192,475884.1636,114.0,12172.9035,8920.7967,2532.0,3488.75,9808.0,20209.0,27934.0,114.0,350250.9825,71059.9604,249800.0,286314.25,340216.5,373641.75,510000.0,114.0,311489.1053,77786.5376,199613.0,257373.0,299579.5,346858.25,483038.0
CA,570.0,0.3913,0.1446,0.0935,0.2526,0.4154,0.5122,0.7171,570.0,35.2386,14.1599,13.0,24.0,34.0,46.0,86.0,570.0,2590.9193,2384.5859,256.0,793.25,1609.0,3598.25,11289.0,569.0,651577.9335,319126.018,220541.2605,393196.5654,598702.4512,853658.2027,1591223.865,570.0,6939.9702,7024.3215,880.0,1972.0,3694.0,8991.75,31524.0,570.0,662809.786,286362.023,249967.0,403900.25,634333.5,865916.5,1439333.0,570.0,621823.314,292489.8916,222698.0,378075.5,568952.0,808972.5,1472859.0
CO,171.0,0.377,0.1383,0.1054,0.2601,0.4027,0.4842,0.6184,171.0,32.3099,14.446,9.0,22.0,33.0,42.0,77.0,171.0,2047.386,1749.068,243.0,660.0,1340.0,3226.0,6671.0,171.0,465484.7785,76836.7935,321411.4968,422666.9864,458675.1794,521357.9037,619838.5202,171.0,4606.2924,3869.9061,649.0,1665.5,2736.0,7469.5,14518.0,171.0,468324.1111,76666.9668,330000.0,422508.0,458182.0,499000.0,646300.0,171.0,432938.4152,81323.8647,288324.0,380146.0,420290.0,475752.0,612374.0
CT,171.0,0.4985,0.1863,0.1586,0.337,0.4719,0.6618,0.8256,171.0,45.6082,23.7257,11.0,25.5,39.0,62.5,110.0,171.0,1148.7895,415.2731,393.0,827.0,1053.0,1359.5,2240.0,171.0,342840.9921,101052.4763,235032.9047,254370.6876,305085.0706,415137.7152,563301.4806,171.0,3566.6959,1605.256,1203.0,2236.5,3205.0,4732.0,7220.0,171.0,395247.6023,163478.0667,249133.0,269900.0,291600.0,609158.0,682983.0,171.0,319771.7778,105158.7718,213991.0,228969.0,275772.0,389662.5,561930.0
DC,57.0,0.3484,0.1019,0.1633,0.282,0.3539,0.4378,0.5176,57.0,30.4912,12.0847,13.0,22.0,28.0,39.0,59.0,57.0,7656.6667,1965.7254,3552.0,6263.0,7443.0,9286.0,12630.0,57.0,479288.1086,48905.2156,414805.9118,430539.8552,472025.933,527151.2704,553154.392,57.0,16709.193,3755.3841,9732.0,14628.0,16758.0,19390.0,23728.0,57.0,464334.6667,35746.508,404633.0,440450.0,457967.0,476300.0,543298.0,57.0,441974.0,39455.1401,385951.0,400708.0,444683.0,471939.0,511457.0
FL,448.0,0.6004,0.1539,0.2633,0.4932,0.6317,0.7122,0.8408,455.0,49.6374,23.9017,12.0,30.5,48.0,67.0,106.0,456.0,3269.568,2592.7988,527.0,1465.5,2284.0,4180.75,13910.0,456.0,295459.7845,67009.7534,184661.0959,241262.9192,283119.5621,343192.2652,476601.522,456.0,12538.2456,12871.8874,2004.0,4813.5,8683.0,12743.75,59411.0,452.0,324557.7987,81142.7873,94998.0,274125.25,301405.5,373141.25,549000.0,456.0,286684.2895,63762.4811,179470.0,235852.75,273110.0,333311.75,466877.0
GA,57.0,0.4656,0.1277,0.2271,0.3251,0.5167,0.5661,0.6233,57.0,37.2632,12.6964,16.0,24.0,40.0,46.0,61.0,57.0,8378.2807,1906.2041,3865.0,6915.0,8222.0,9824.0,12369.0,57.0,292105.788,55690.4217,225597.5533,242407.9799,270675.2226,347807.9344,380705.5147,57.0,25228.3684,5316.3557,16356.0,20456.0,24318.0,29794.0,34139.0,57.0,325235.0351,34001.6863,277966.0,296667.0,313333.0,349933.0,391933.0,57.0,292263.1579,52746.9385,223106.0,243861.0,283607.0,348240.0,374244.0
