bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G39000107701001,390017701001,G39000107701001,390017701001,1,1,1,1,1,1
G39000107701002,390017701002,G39000107701002,390017701002,1,1,1,1,1,1
G39000107701003,390017701003,G39000107701003,390017701003,1,1,1,1,1,1
G39000107701004,390017701004,G39000107701004,390017701004,1,1,1,1,1,0.999637361442
G39000107701004,390017701004,G39000107701003,390017701003,0,0,0,0,0,3.62638558e-4
G39000107702001,390017702001,G39000107702001,390017702001,1,1,1,1,1,1
G39000107702002,390017702002,G39000107702002,390017702002,1,1,1,1,1,1
G39000107702003,390017702003,G39000107702003,390017702003,1,1,1,1,1,1
G39000107702004,390017702004,G39000107702004,390017702004,1,1,1,1,1,1
G39000107703001,390017703001,G39000107703011,390017703011,1,1,1,1,1,1
G39000107703002,390017703002,G39000107703012,390017703012,1,1,1,1,1,1
G39000107703003,390017703003,G39000107703021,390017703021,1,1,1,1,1,1
G39000107703004,390017703004,G39000107703022,390017703022,1,1,1,1,1,1
G39000107704001,390017704001,G39000107704001,390017704001,0.999974856189,0.999967441988,0.999954792613,0.999974652278,0.999951762091,0.999998930083
G39000107704001,390017704001,G39000107704003,390017704003,2.5143811e-5,3.2558012e-5,4.5207387e-5,2.5347722e-5,4.8237909e-5,1.069917e-6
G39000107704002,390017704002,G39000107704002,390017704002,1,1,1,1,1,1
G39000107704003,390017704003,G39000107704003,390017704003,1,1,1,1,1,1
G39000107704004,390017704004,G39000107704004,390017704004,1,1,1,1,1,0.999936686034
G39000107704004,390017704004,G39000107704002,390017704002,0,0,0,0,0,6.3313966e-5
G39000107705001,390017705001,G39000107705001,390017705001,1,1,1,1,1,1
G39000107705002,390017705002,G39000107705002,390017705002,0.993676603433,0.992957746479,0.993273542601,0.993311036789,0.992537313433,0.99165748596
G39000107705002,390017705002,G39000107705001,390017705001,0.006323396567,0.007042253521,0.006726457399,0.006688963211,0.007462686567,0.00834251404
G39000107705003,390017705003,G39000107705003,390017705003,1,1,1,1,1,1
G39000107706001,390017706001,G39000107706001,390017706001,1,1,1,1,1,0.999929538296
G39000107706001,390017706001,G39000107705003,390017705003,0,0,0,0,0,7.0461704e-5
G39000107706002,390017706002,G39000107706004,390017706004,0.501157407407,0.50157480315,0.500707213579,0.52144469526,0.530066815145,0.779167237134
G39000107706002,390017706002,G39000107706003,390017706003,0.498842592593,0.49842519685,0.499292786421,0.47855530474,0.469933184855,0.220832762866
G39000107706003,390017706003,G39000107706002,390017706002,1,1,1,1,1,1
G39000107706003,390017706003,G39000107706004,390017706004,0,0,0,0,0,0
G39000300101001,390030101001,G39000300101001,390030101001,1,1,1,1,1,1
G39000300101002,390030101002,G39000300101002,390030101002,1,1,1,1,1,1
G39000300101003,390030101003,G39000300101003,390030101003,1,1,1,1,1,1
G39000300102001,390030102001,G39000300102001,390030102001,1,1,1,1,1,1
G39000300102002,390030102002,G39000300102002,390030102002,1,1,1,1,1,1
G39000300102003,390030102003,G39000300102003,390030102003,1,1,1,1,1,1
G39000300102004,390030102004,G39000300102004,390030102004,1,1,1,1,1,0.999898997601
G39000300102004,390030102004,G39000300113021,390030113021,0,0,0,0,0,1.01002399e-4
G39000300103001,390030103001,G39000300103001,390030103001,1,1,1,1,1,1
G39000300103002,390030103002,G39000300103002,390030103002,1,1,1,1,1,1
G39000300106001,390030106001,G39000300106001,390030106001,1,1,1,1,1,1
G39000300106002,390030106002,G39000300106002,390030106002,1,1,1,1,1,1
G39000300106003,390030106003,G39000300106003,390030106003,1,1,1,1,1,1
G39000300106004,390030106004,G39000300106004,390030106004,1,1,1,1,1,1
G39000300108001,390030108001,G39000300108011,390030108011,1,1,1,1,1,1
G39000300108002,390030108002,G39000300108021,390030108021,1,1,1,1,1,1
G39000300108003,390030108003,G39000300108013,390030108013,1,1,1,1,1,1
G39000300108004,390030108004,G39000300108012,390030108012,1,1,1,1,1,1
G39000300108005,390030108005,G39000300108021,390030108021,1,1,1,1,1,1
G39000300108006,390030108006,G39000300108022,390030108022,1,1,1,1,1,1
