bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G39000100835099999990100R1,G39000107701001,390017701001,1.0,1.0,1.0,1.0
G39000100835099999990100R2,G39000107701002,390017701002,1.0,1.0,1.0,1.0
G39000100835099999990200R1,G39000107702001,390017702001,1.0,1.0,1.0,1.0
G39000100835099999990200R2,G39000107702002,390017702002,1.0,1.0,1.0,1.0
G39000100972299999990300R1,G39000107705001,390017705001,0.0,0.0,0.0,0.0
G39000100972299999990500R1,G39000107705001,390017705001,1.0,1.0,1.0,1.0
G39000100972299999990500R3,G39000107705003,390017705003,1.0,1.0,1.0,1.0
G39000102819699999990100R1,G39000107701001,390017701001,1.0,1.0,1.0,1.0
G39000102819699999990100R2,G39000107701002,390017701002,1.0,1.0,1.0,1.0
G39000102819699999990100R3,G39000107701003,390017701003,1.0,1.0,1.0,1.0
G39000102819699999990100R4,G39000107701004,390017701004,1.0,1.0,1.0,1.0
G39000103166868196990500R2,G39000107705002,390017705002,1.0,1.0,1.0,1.0
G39000103166868196990500R3,G39000107705003,390017705003,1.0,1.0,1.0,1.0
G39000103166899999990500R2,G39000107705002,390017705002,1.0,1.0,1.0,1.0
G39000103166899999990500R3,G39000107705003,390017705003,1.0,1.0,1.0,1.0
G39000103166899999990500R3,G39000107706001,390017706001,0.0,0.0,0.0,0.0
G39000103166899999990600R1,G39000107706001,390017706001,0.0,0.0,0.0,0.0
G39000103848699999990100R4,G39000107701004,390017701004,1.0,1.0,1.0,1.0
G39000103848699999990500R1,G39000107705001,390017705001,1.0,1.0,1.0,1.0
G39000103848699999990500R2,G39000107705002,390017705002,1.0,1.0,1.0,1.0
G39000103848699999990500R3,G39000107705003,390017705003,1.0,1.0,1.0,1.0
G39000104303684294990400R4,G39000107704004,390017704004,0.0,0.0,0.0,0.0
G39000104303684294990400U4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000104303699999990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000104303699999990300R3,G39000107703003,390017703003,1.0,1.0,1.0,1.0
G39000104303699999990300R4,G39000107703004,390017703004,1.0,1.0,1.0,1.0
G39000104303699999990400R4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000104303699999990400U4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000104702647012990600R1,G39000107706002,390017706002,1.0,1.0,1.0,1.0
G39000104702647012990600R2,G39000107706002,390017706002,1.0,1.0,1.0,1.0
G39000104702647012990600R3,G39000107706001,390017706001,0.2039800995,0.1932773109,0.1677018634,0.1955307263
G39000104702647012990600R3,G39000107706002,390017706002,0.7960199005,0.8067226891,0.8322981366,0.8044692737
G39000104702647012990600R4,G39000107706003,390017706003,1.0,1.0,1.0,1.0
G39000104702699999990600R1,G39000107706001,390017706001,0.3978142101,0.3729508219,0.3890235236,0.3976393469
G39000104702699999990600R1,G39000107706002,390017706002,0.6021857899,0.6270491781,0.6109764764,0.6023606531
G39000104702699999990600R3,G39000107706001,390017706001,0.8333333333,0.7142857143,0.8181818182,0.7857142857
G39000104702699999990600R3,G39000107706002,390017706002,0.1666666667,0.2857142857,0.1818181818,0.2142857143
G39000104702699999990600R4,G39000107706003,390017706003,1.0,1.0,1.0,1.0
G39000104888861420990100R2,G39000107701002,390017701002,1.0,1.0,1.0,1.0
G39000104888861420990100R3,G39000107701003,390017701003,1.0,1.0,1.0,1.0
G39000104888899999990100R2,G39000107701002,390017701002,1.0,1.0,1.0,1.0
G39000104888899999990100R3,G39000107701003,390017701003,1.0,1.0,1.0,1.0
G39000104888899999990100R4,G39000107701004,390017701004,1.0,1.0,1.0,1.0
G39000104888899999990200R1,G39000107702001,390017702001,1.0,1.0,1.0,1.0
G39000104888899999990500R1,G39000107705001,390017705001,1.0,1.0,1.0,1.0
G39000105126899999990400R1,G39000107704001,390017704001,1.0,1.0,1.0,1.0
G39000105126899999990400R3,G39000107704003,390017704003,1.0,1.0,1.0,1.0
G39000105126899999990400R4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000105126899999990600R1,G39000107706001,390017706001,1.0,1.0,1.0,1.0
G39000105126899999990600R3,G39000107706001,390017706001,1.0,1.0,1.0,1.0
G39000105836699999990200R1,G39000107702001,390017702001,1.0,1.0,1.0,1.0
G39000105836699999990200R3,G39000107702003,390017702003,0.0,0.0,0.0,0.0
G39000105836699999990300R1,G39000107703001,390017703001,1.0,1.0,1.0,1.0
G39000105836699999990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000107105271206990200R3,G39000107702003,390017702003,1.0,1.0,1.0,1.0
G39000107105271206990200R4,G39000107702004,390017702004,0.0,0.0,0.0,0.0
G39000107105271206990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000107105299999990200R1,G39000107702001,390017702001,1.0,1.0,1.0,1.0
G39000107105299999990200R2,G39000107702002,390017702002,1.0,1.0,1.0,1.0
G39000107105299999990200R3,G39000107702003,390017702003,1.0,1.0,1.0,1.0
G39000107105299999990200R4,G39000107702004,390017702004,1.0,1.0,1.0,1.0
G39000107105299999990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000107406947012990600R1,G39000107706002,390017706002,0.0,0.0,0.0,0.0
G39000107406947012990600R4,G39000107706003,390017706003,1.0,0.0,1.0,1.0
G39000107406999999990300R4,G39000107703004,390017703004,1.0,1.0,1.0,1.0
G39000107406999999990400R4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000107406999999990600R1,G39000107706002,390017706002,0.0,0.0,0.0,0.0
G39000107406999999990600R3,G39000107706001,390017706001,1.0,1.0,1.0,1.0
G39000107406999999990600R4,G39000107706003,390017706003,1.0,1.0,1.0,1.0
G39000107676884294990400R1,G39000107704001,390017704001,1.0,1.0,1.0,1.0
G39000107676884294990400R2,G39000107704002,390017704002,1.0,1.0,1.0,1.0
G39000107676884294990400R3,G39000107704003,390017704003,1.0,1.0,1.0,1.0
G39000107676884294990400R4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000107676884294990400U1,G39000107704001,390017704001,1.0,1.0,1.0,1.0
G39000107676884294990400U2,G39000107704002,390017704002,1.0,1.0,1.0,1.0
G39000107676884294990400U3,G39000107704003,390017704003,1.0,1.0,1.0,1.0
G39000107676884294990400U4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000107676899999990300R1,G39000107703001,390017703001,1.0,1.0,1.0,1.0
G39000107676899999990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000107676899999990300R4,G39000107703004,390017703004,1.0,1.0,1.0,1.0
G39000107676899999990400R1,G39000107704001,390017704001,1.0,1.0,1.0,1.0
G39000107676899999990400R2,G39000107704002,390017704002,1.0,1.0,1.0,1.0
G39000107676899999990400R3,G39000107704003,390017704003,1.0,1.0,1.0,1.0
G39000107676899999990400R4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000107676899999990400U1,G39000107704001,390017704001,1.0,1.0,1.0,1.0
G39000107676899999990400U4,G39000107704004,390017704004,1.0,1.0,1.0,1.0
G39000108201213834990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000108201213834990300R3,G39000107703003,390017703003,1.0,1.0,1.0,1.0
G39000108201299999990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000108201299999990300R3,G39000107703003,390017703003,1.0,1.0,1.0,1.0
G39000108589085876990200R4,G39000107702004,390017702004,1.0,1.0,1.0,1.0
G39000108589085876990300R2,G39000107703002,390017703002,1.0,0.0,1.0,1.0
G39000108589085876990300R3,G39000107703003,390017703003,1.0,1.0,1.0,1.0
G39000108589099999990200R2,G39000107702002,390017702002,1.0,1.0,1.0,1.0
G39000108589099999990200R4,G39000107702004,390017702004,1.0,1.0,1.0,1.0
G39000108589099999990300R2,G39000107703002,390017703002,1.0,1.0,1.0,1.0
G39000108589099999990300R3,G39000107703003,390017703003,1.0,1.0,1.0,1.0
G39000300160299999010600R1,G39000300106001,390030106001,0.0,0.0,0.0,0.0
G39000300160299999010600R2,G39000300106002,390030106002,1.0,1.0,1.0,1.0
G39000300160299999010600R3,G39000300106003,390030106003,1.0,1.0,1.0,1.0
G39000300160299999010600R4,G39000300106004,390030106004,1.0,1.0,1.0,1.0
G39000300175624808010800R2,G39000300108002,390030108002,1.0,1.0,1.0,1.0
G39000300175624808010800U1,G39000300108001,390030108001,1.0,1.0,1.0,1.0
G39000300175624808010800U3,G39000300108003,390030108003,1.0,1.0,1.0,1.0
G39000300175699999010300R1,G39000300103001,390030103001,1.0,1.0,1.0,1.0
G39000300175699999010800R2,G39000300108002,390030108002,1.0,1.0,1.0,1.0
G39000300175699999010800R5,G39000300108005,390030108005,1.0,1.0,1.0,1.0
G39000300175699999010800R7,G39000300108006,390030108006,1.0,1.0,1.0,1.0
G39000300175699999010800U1,G39000300108001,390030108001,1.0,1.0,1.0,1.0
G39000300175699999010800U2,G39000300108002,390030108002,1.0,1.0,1.0,1.0
G39000300175699999010800U3,G39000300108003,390030108003,1.0,1.0,1.0,1.0
G39000300175699999010800U4,G39000300108004,390030108004,1.0,1.0,1.0,1.0
G39000300175699999010800U5,G39000300108005,390030108005,1.0,1.0,1.0,1.0
G39000300175699999010800U7,G39000300108006,390030108006,1.0,1.0,1.0,1.0
G39000300175699999010900U1,G39000300109001,390030109001,1.0,1.0,1.0,1.0
G39000300175699999010900U2,G39000300109002,390030109002,1.0,1.0,1.0,1.0
G39000300175699999010900U3,G39000300109003,390030109003,1.0,1.0,1.0,1.0
G39000300175699999011000R1,G39000300110001,390030110001,1.0,1.0,1.0,1.0
G39000300175699999011000U1,G39000300110001,390030110001,1.0,1.0,1.0,1.0
G39000300175699999011000U2,G39000300110004,390030110004,1.0,1.0,1.0,1.0
G39000300175699999011000U3,G39000300110002,390030110002,0.2677824268,0.2585924714,0.2283261803,0.2350689127
G39000300175699999011000U3,G39000300110003,390030110003,0.3912133891,0.3911620295,0.417167382,0.4199123217
G39000300175699999011000U3,G39000300110004,390030110004,0.3410041841,0.3502454992,0.3545064378,0.3450187656
G39000300175699999012300U2,G39000300123002,390030123002,1.0,1.0,1.0,1.0
G39000300175699999012300U3,G39000300123003,390030123003,1.0,1.0,1.0,1.0
G39000300175699999013000U1,G39000300130001,390030130001,0.0,0.0,0.0,0.0
G39000300298834118011500R2,G39000300115002,390030115002,1.0,1.0,1.0,1.0
G39000300298899999011500R1,G39000300115001,390030115001,1.0,1.0,1.0,1.0
G39000300298899999011500R2,G39000300115002,390030115002,1.0,1.0,1.0,1.0
G39000300420699999011200R2,G39000300112002,390030112002,1.0,1.0,1.0,1.0
G39000300420699999011200R3,G39000300112002,390030112002,1.0,1.0,1.0,1.0
G39000300420699999011200R3,G39000300113002,390030113002,0.0,0.0,0.0,0.0
G39000300420699999011200U1,G39000300112002,390030112002,1.0,1.0,1.0,1.0
G39000300420699999011200U2,G39000300112002,390030112002,1.0,1.0,1.0,1.0
G39000300420699999011200U3,G39000300112002,390030112002,1.0,1.0,1.0,1.0
G39000300420699999011200U4,G39000300112001,390030112001,0.0,0.0,0.0,0.0
G39000300420699999011300R2,G39000300113001,390030113001,1.0,1.0,1.0,1.0
G39000300420699999011300R3,G39000300113001,390030113001,1.0,1.0,1.0,1.0
G39000300420699999011300R4,G39000300113003,390030113003,1.0,1.0,1.0,1.0
G39000300420699999011300R5,G39000300113002,390030113002,1.0,1.0,1.0,1.0
G39000300420699999011300U1,G39000300113005,390030113005,1.0,1.0,1.0,1.0
G39000300420699999011300U3,G39000300113001,390030113001,1.0,1.0,1.0,1.0
G39000300420699999011300U4,G39000300113003,390030113003,1.0,1.0,1.0,1.0
G39000300420699999011300U5,G39000300113002,390030113002,1.0,1.0,1.0,1.0
G39000300420699999011300U6,G39000300113004,390030113004,1.0,1.0,1.0,1.0
G39000300420699999012400U1,G39000300124001,390030124001,1.0,1.0,1.0,1.0
G39000300420699999012600U1,G39000300126001,390030126001,1.0,1.0,1.0,1.0
G39000300420699999012600U2,G39000300126002,390030126002,1.0,1.0,1.0,1.0
G39000303764641118011400R2,G39000300114002,390030114002,1.0,1.0,1.0,1.0
G39000303764699999011400R1,G39000300114001,390030114001,1.0,1.0,1.0,1.0
G39000303764699999011400R2,G39000300114002,390030114002,1.0,1.0,1.0,1.0
G39000304355443554010900U1,G39000300109001,390030109001,1.0,0.0,0.0,0.0
G39000304355443554010900U2,G39000300109002,390030109002,1.0,1.0,1.0,1.0
G39000304355443554010900U3,G39000300109003,390030109003,1.0,1.0,1.0,1.0
G39000304355443554011000U1,G39000300110001,390030110001,0.256302521,0.2827586207,0.193220339,0.1680911681
G39000304355443554011000U1,G39000300110002,390030110002,0.743697479,0.7172413793,0.806779661,0.8319088319
G39000304355443554011000U3,G39000300110002,390030110002,0.5520231214,0.545045045,0.5498007968,0.5546875
G39000304355443554011000U3,G39000300110003,390030110003,0.348265896,0.3558558559,0.3426294821,0.33984375
G39000304355443554011000U3,G39000300110004,390030110004,0.0997109827,0.0990990991,0.1075697211,0.10546875
G39000304355443554011200R2,G39000300112002,390030112002,0.0,0.0,0.0,0.0
G39000304355443554011200R3,G39000300112002,390030112002,0.0,0.0,0.0,0.0
G39000304355443554011200U1,G39000300112002,390030112002,1.0,1.0,1.0,1.0
G39000304355443554011200U2,G39000300112002,390030112002,1.0,1.0,1.0,1.0
G39000304355443554011200U4,G39000300112001,390030112001,1.0,1.0,1.0,1.0
G39000304355443554011300R5,G39000300113002,390030113002,0.0,0.0,0.0,0.0
G39000304355443554011600R1,G39000300116001,390030116001,0.0,0.0,0.0,0.0
G39000304355443554011600R2,G39000300116002,390030116002,1.0,1.0,1.0,1.0
G39000304355443554011800U1,G39000300118001,390030118001,1.0,1.0,1.0,1.0
G39000304355443554012200U1,G39000300122001,390030122001,1.0,1.0,1.0,1.0
G39000304355443554012200U2,G39000300122002,390030122002,1.0,1.0,1.0,1.0
G39000304355443554012300U1,G39000300123001,390030123001,1.0,1.0,1.0,1.0
G39000304355443554012300U2,G39000300123002,390030123002,1.0,1.0,1.0,1.0
G39000304355443554012300U3,G39000300123003,390030123003,1.0,1.0,1.0,1.0
G39000304355443554012400U1,G39000300124001,390030124001,1.0,1.0,1.0,1.0
G39000304355443554012400U2,G39000300124002,390030124002,1.0,1.0,1.0,1.0
G39000304355443554012400U3,G39000300124003,390030124003,1.0,1.0,1.0,1.0
G39000304355443554012500U1,G39000300141001,390030141001,1.0,1.0,1.0,1.0
G39000304355443554012600U1,G39000300126001,390030126001,1.0,1.0,1.0,1.0
G39000304355443554012600U2,G39000300126002,390030126002,1.0,1.0,1.0,1.0
G39000304355443554012700U1,G39000300127001,390030127001,1.0,1.0,1.0,1.0
G39000304355443554012700U2,G39000300127002,390030127002,1.0,1.0,1.0,1.0
G39000304355443554012800U1,G39000300141002,390030141002,1.0,1.0,1.0,1.0
G39000304355443554012800U2,G39000300141003,390030141003,1.0,1.0,1.0,1.0
G39000304355443554012900U1,G39000300129001,390030129001,1.0,1.0,1.0,1.0
G39000304355443554012900U2,G39000300129002,390030129002,1.0,1.0,1.0,1.0
G39000304355443554013000U1,G39000300130001,390030130001,1.0,1.0,1.0,1.0
G39000304355443554013000U2,G39000300130002,390030130002,1.0,1.0,1.0,1.0
G39000304355443554013000U3,G39000300130003,390030130003,1.0,1.0,1.0,1.0
G39000304355443554013000U4,G39000300130004,390030130004,1.0,1.0,1.0,1.0
G39000304355443554013100U1,G39000300131001,390030131001,1.0,1.0,1.0,1.0
G39000304355443554013100U2,G39000300131002,390030131002,1.0,1.0,1.0,1.0
G39000304355443554013200U1,G39000300132001,390030132001,1.0,1.0,1.0,1.0
G39000304355443554013200U2,G39000300132002,390030132002,1.0,1.0,1.0,1.0
G39000304355443554013300U1,G39000300133001,390030133001,1.0,1.0,1.0,1.0
G39000304355443554013300U2,G39000300133002,390030133002,1.0,1.0,1.0,1.0
G39000304355443554013400U1,G39000300134001,390030134001,1.0,1.0,1.0,1.0
G39000304355443554013400U2,G39000300134002,390030134002,1.0,1.0,1.0,1.0
G39000304355443554013400U3,G39000300134003,390030134003,1.0,1.0,1.0,1.0
G39000304355443554013400U4,G39000300134004,390030134004,1.0,1.0,1.0,1.0
G39000304355443554013600U1,G39000300126002,390030126002,3.7258e-05,2.9981e-05,2.12412e-05,1.80168e-05
G39000304355443554013600U1,G39000300136001,390030136001,0.999962742,0.999970019,0.9999787588,0.9999819832
G39000304355443554013700U1,G39000300137001,390030137001,1.0,1.0,1.0,1.0
G39000304355443554013800U1,G39000300138001,390030138001,1.0,1.0,1.0,1.0
G39000304355443554013800U2,G39000300138002,390030138002,1.0,1.0,1.0,1.0
G39000304355443554013800U3,G39000300116002,390030116002,0.0,0.0,0.0,0.0
G39000304355443554013800U3,G39000300138003,390030138003,1.0,1.0,1.0,1.0
G39000304765621602013900R2,G39000300139002,390030139002,1.0,1.0,1.0,1.0
G39000304765621602013900U1,G39000300139001,390030139001,1.0,1.0,1.0,1.0
G39000304765621602013900U2,G39000300139002,390030139002,1.0,1.0,1.0,1.0
G39000304765621602014000R3,G39000300140003,390030140003,0.0,0.0,0.0,0.0
G39000304765621602014000U1,G39000300140001,390030140001,1.0,1.0,1.0,1.0
G39000304765621602014000U2,G39000300140002,390030140002,1.0,1.0,1.0,1.0
G39000304765621602014000U3,G39000300140003,390030140003,1.0,1.0,1.0,1.0
G39000304765699999013900R2,G39000300139002,390030139002,1.0,1.0,1.0,1.0
G39000304765699999013900R3,G39000300139003,390030139003,1.0,1.0,1.0,1.0
G39000304765699999013900U1,G39000300139001,390030139001,0.0,0.0,0.0,0.0
G39000304765699999013900U2,G39000300139002,390030139002,1.0,1.0,1.0,1.0
G39000304765699999014000R3,G39000300103002,390030103002,1.908e-07,2.313e-07,3.493e-07,3.354e-07
G39000304765699999014000R3,G39000300140003,390030140003,0.9999998092,0.9999997687,0.9999996507,0.9999996646
G39000304765699999014000U2,G39000300140002,390030140002,1.0,1.0,1.0,1.0
G39000304765699999014000U3,G39000300140003,390030140003,1.0,1.0,1.0,1.0
G39000305128210884010200R1,G39000300102001,390030102001,1.0,1.0,1.0,1.0
G39000305128299999010200R1,G39000300102001,390030102001,1.0,1.0,1.0,1.0
G39000305128299999010200R3,G39000300102003,390030102003,1.0,1.0,1.0,1.0
G39000305128299999010200R4,G39000300102004,390030102004,1.0,1.0,1.0,1.0
G39000306174299999011600R1,G39000300113005,390030113005,0.0,0.0,0.0,0.0
G39000306174299999011600R1,G39000300116001,390030116001,1.0,1.0,1.0,1.0
G39000306174299999011600R2,G39000300116002,390030116002,1.0,1.0,1.0,1.0
G39000306174299999011600R3,G39000300116003,390030116003,1.0,1.0,1.0,1.0
G39000306174299999011600U1,G39000300116001,390030116001,1.0,1.0,1.0,1.0
G39000306174299999013700U1,G39000300137001,390030137001,1.0,1.0,1.0,1.0
G39000306174299999013800U2,G39000300138002,390030138002,1.0,1.0,1.0,1.0
G39000306174299999013800U3,G39000300116001,390030116001,0.0,0.0,0.0,0.0
G39000306174299999013800U3,G39000300116002,390030116002,0.0,0.0,0.0,0.0
G39000306174299999013800U3,G39000300138003,390030138003,1.0,1.0,1.0,1.0
G39000306661404752010200R4,G39000300102004,390030102004,1.0,1.0,1.0,1.0
G39000306661407426010100R1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661407426010100R2,G39000300101002,390030101002,1.0,1.0,1.0,1.0
G39000306661407426010100R3,G39000300101003,390030101003,0.0,0.0,0.0,0.0
G39000306661407426010100U1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661407426010100U2,G39000300101002,390030101002,1.0,1.0,1.0,1.0
G39000306661407426010100U3,G39000300101003,390030101003,1.0,1.0,1.0,1.0
G39000306661499999010100R1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661499999010100R2,G39000300101002,390030101002,1.0,1.0,1.0,1.0
G39000306661499999010100R3,G39000300101003,390030101003,1.0,1.0,1.0,1.0
G39000306661499999010100U1,G39000300101001,390030101001,1.0,1.0,1.0,1.0
G39000306661499999010200R4,G39000300102004,390030102004,1.0,1.0,1.0,1.0
G39000306661499999010200R5,G39000300102002,390030102002,1.0,1.0,1.0,1.0
G39000307195527944011800U1,G39000300118001,390030118001,1.0,1.0,1.0,1.0
G39000307195527944011900R1,G39000300119001,390030119001,1.0,1.0,1.0,1.0
G39000307195527944011900R3,G39000300119003,390030119003,1.0,1.0,1.0,1.0
G39000307195527944011900R9,G39000300119004,390030119004,1.0,1.0,1.0,1.0
G39000307195527944011900U1,G39000300119001,390030119001,1.0,1.0,1.0,1.0
G39000307195527944011900U2,G39000300119002,390030119002,1.0,1.0,1.0,1.0
G39000307195527944011900U3,G39000300119003,390030119003,1.0,1.0,1.0,1.0
G39000307195527944011900U9,G39000300119004,390030119004,1.0,1.0,1.0,1.0
G39000307195527944012000U4,G39000300120002,390030120002,1.0,1.0,1.0,1.0
G39000307195527944012100U1,G39000300121001,390030121001,1.0,1.0,1.0,1.0
G39000307195599999010800R7,G39000300108006,390030108006,1.0,1.0,1.0,1.0
G39000307195599999010800U7,G39000300108006,390030108006,1.0,1.0,1.0,1.0
G39000307195599999010900U3,G39000300109003,390030109003,1.0,1.0,1.0,1.0
G39000307195599999011800U1,G39000300118001,390030118001,1.0,1.0,1.0,1.0
G39000307195599999011800U2,G39000300118002,390030118002,1.0,1.0,1.0,1.0
G39000307195599999011900U1,G39000300119001,390030119001,1.0,1.0,1.0,1.0
G39000307195599999011900U3,G39000300119003,390030119003,1.0,1.0,1.0,1.0
